rec_type, var_name, deployment_code, model, serial_number, time_deployment, time_recovery, variable_name, variable_dims, variable_shape, attribute_name, type, value
GLOBAL,,,RCM8,7773,2009-09-28,2010-09-09,,"","",deployment_code,str,"SAZ47-12-2009"
GLOBAL,,,ACR8242XS,16211,2009-09-28,2010-09-09,,"","",deployment_code,str,"SAZ47-12-2009"
GLOBAL,,,ACR8242XS,29300,2009-09-28,2010-09-09,,"","",deployment_code,str,"SAZ47-12-2009"
GLOBAL,,,PARFLUX Mark78H-21,12419-03,2009-09-28,2010-09-09,,"","",deployment_code,str,"SAZ47-12-2009"
GLOBAL,,,PARFLUX Mark78H-21 Frame,12419-01,2009-09-28,2010-09-09,,"","",deployment_code,str,"SAZ47-12-2009"
GLOBAL,,,PARFLUX Mark78H-21 Frame,12419-02,2009-09-28,2010-09-09,,"","",deployment_code,str,"SAZ47-12-2009"
GLOBAL,,,DR1050P,13294,2009-09-28,2010-09-09,,"","",deployment_code,str,"SAZ47-12-2009"
GLOBAL,,,TDR-2050,14785,2009-09-28,2010-09-09,,"","",deployment_code,str,"SAZ47-12-2009"
GLOBAL,,,Indented Rotating Sphere Trap,IRS-1,2009-09-28,2010-09-09,,"","",deployment_code,str,"SAZ47-12-2009"

VAR,LATITUDE,SAZ47-12-2009,,,2009-09-28,2010-09-09,LATITUDE,"()","()",,float64,"-46.8335000000"
VAR,LONGITUDE,SAZ47-12-2009,,,2009-09-28,2010-09-09,LONGITUDE,"()","()",,float64,"141.6569500000"

GLOBAL,,SAZ47-12-2009,,,2009-09-28,2010-09-09,,"","",site_nominal_depth,float64,"4500.00"
GLOBAL,,SAZ47-12-2009,,,2009-09-28,2010-09-09,,"","",time_deployment_start,str,"2009-09-28T16:17:00Z"
GLOBAL,,SAZ47-12-2009,,,2009-09-28,2010-09-09,,"","",time_deployment_end,str,"2010-09-09T20:44:00Z"

VAR,NOMINAL_DEPTH,SAZ47-12-2009,RCM8,7773,2009-09-28,2010-09-09,NOMINAL_DEPTH,"()","()",,float64,"1200.00"
VAR,NOMINAL_DEPTH,SAZ47-12-2009,ACR8242XS,16211,2009-09-28,2010-09-09,NOMINAL_DEPTH,"()","()",,float64,"4600.00"
VAR,NOMINAL_DEPTH,SAZ47-12-2009,ACR8242XS,29300,2009-09-28,2010-09-09,NOMINAL_DEPTH,"()","()",,float64,"4500.00"
VAR,NOMINAL_DEPTH,SAZ47-12-2009,PARFLUX Mark78H-21,12419-03,2009-09-28,2010-09-09,NOMINAL_DEPTH,"()","()",,float64,"3800.00"
VAR,NOMINAL_DEPTH,SAZ47-12-2009,PARFLUX Mark78H-21 Frame,12419-01,2009-09-28,2010-09-09,NOMINAL_DEPTH,"()","()",,float64,"1000.00"
VAR,NOMINAL_DEPTH,SAZ47-12-2009,PARFLUX Mark78H-21 Frame,12419-02,2009-09-28,2010-09-09,NOMINAL_DEPTH,"()","()",,float64,"2000.00"
VAR,NOMINAL_DEPTH,SAZ47-12-2009,DR1050P,13294,2009-09-28,2010-09-09,NOMINAL_DEPTH,"()","()",,float64,"3800.00"
VAR,NOMINAL_DEPTH,SAZ47-12-2009,TDR-2050,14785,2009-09-28,2010-09-09,NOMINAL_DEPTH,"()","()",,float64,"1000.00"
VAR,NOMINAL_DEPTH,SAZ47-12-2009,Indented Rotating Sphere Trap,IRS-1,2009-09-28,2010-09-09,NOMINAL_DEPTH,"()","()",,float64,"1000.00"
